Geographic Area,City,percent_completed_hs,,
AL,Harpersville town,80.7,town,4
AL,Hartford city,70.6,city,4
AL,Hartselle city,91.9,city,4
AL,Harvest CDP,90.6,CDP,3
AL,Hatton CDP,83.2,CDP,3
AL,Hayden town,83.4,town,4
AL,Hayneville town,72.1,town,4
AL,Hazel Green CDP,88.2,CDP,3
AL,Headland city,88.1,city,4
AL,Heath town,80.3,town,4
AL,Heflin city,74.3,city,4
AL,Helena city,97.7,city,4
AL,Henagar city,71.7,city,4
AL,Highland Lake town,94.3,town,4
AL,Highland Lakes CDP,97.6,CDP,3
AL,Hillsboro town,74.6,town,4
AL,Hissop CDP,73.8,CDP,3
AL,Hobson CDP,63.6,CDP,3
AL,Hobson City town,77.3,town,4
AL,Hodges town,69.3,town,4
AL,Hokes Bluff city,89.2,city,4
AL,Hollins CDP,68.2,CDP,3
AL,Hollis Crossroads CDP,71.4,CDP,3
AL,Holly Pond town,90.4,town,4
AL,Hollywood town,71.3,town,4
AL,Holt CDP,75,CDP,3
AL,Holtville CDP,85.6,CDP,3
AL,Homewood city,93.5,city,4
AL,Hoover city,95.2,city,4
AL,Horn Hill town,66.3,town,4
AL,Hueytown city,86.5,city,4
AL,Huguley CDP,79.3,CDP,3
AL,Huntsville city,90.2,city,4
AL,Hurtsboro town,75.3,town,4
AL,Hytop town,70.6,town,4
AL,Ider town,80.5,town,4
AL,Indian Springs Village city,97.2,city,4
AL,Irondale city,87.4,city,4
AL,Ivalee CDP,77,CDP,3
AL,Jackson city,85.8,city,4
AL,Jacksons' Gap town,67.1,Gap town,8
AL,Jacksonville city,89,city,4
AL,Jasper city,85.3,city,4
AL,Jemison city,77.8,city,4
AL,Joppa CDP,67.3,CDP,3
AL,Kansas town,66.4,town,4
AL,Kellyton town,71.3,town,4
AL,Kennedy town,82.6,town,4
AL,Killen town,87.1,town,4
AL,Kimberly city,89.4,city,4
AL,Kinsey town,75.9,town,4
AL,Kinston town,69.5,town,4
AL,Ladonia CDP,84.4,CDP,3
AL,La Fayette city,69.7,#VALUE!,#VALUE!
AL,Lakeview town,92.3,town,4
AL,Lake View town,95.7,town,4
AL,Lanett city,77.2,city,4
AL,Langston town,85.1,town,4
AL,Leeds city,87.2,city,4
AL,Leesburg town,80.5,town,4
AL,Leighton town,71.9,town,4
AL,Leroy CDP,99.3,CDP,3
AL,Lester town,89,town,4
AL,Level Plains town,91.3,town,4
AL,Lexington town,87.1,town,4
AL,Libertyville town,77.3,town,4
AL,Lillian CDP,96.6,CDP,3
AL,Lincoln city,87.5,city,4
AL,Linden city,87.1,city,4
AL,Lineville city,77.8,city,4
AL,Lipscomb city,71,city,4
AL,Lisman town,67.2,town,4
AL,Littleville town,81.8,town,4
AL,Livingston city,86,city,4
AL,Loachapoka town,89.5,town,4
AL,Lockhart town,82.2,town,4
AL,Locust Fork town,81.9,town,4
AL,Lookout Mountain CDP,82.3,CDP,3
AL,Louisville town,65.7,town,4
AL,Lowndesboro town,90.2,town,4
AL,Loxley town,85.3,town,4
AL,Luverne city,77.9,city,4
AL,Lynn town,74.8,town,4
AL,McDonald Chapel CDP,60.3,CDP,3
AL,Macedonia CDP,81.4,CDP,3
AL,McIntosh town,95.8,town,4
AL,McKenzie town,75.5,town,4
AL,McMullen town,40,town,4
AL,Madison city,95.7,city,4
AL,Madrid town,70.6,town,4
AL,Magnolia Springs town,89.1,town,4
AL,Malcolm CDP,90.1,CDP,3
AL,Malvern town,74,town,4
AL,Maplesville town,77.3,town,4
AL,Marbury CDP,83.8,CDP,3
AL,Margaret town,92.5,town,4
AL,Marion city,81.4,city,4
AL,Maytown town,88.4,town,4
AL,Meadowbrook CDP,94,CDP,3
AL,Megargel CDP,53.1,CDP,3
AL,Memphis town,29.4,town,4
AL,Mentone town,87.5,town,4
AL,Meridianville CDP,86.6,CDP,3
AL,Midfield city,90.2,city,4
AL,Midland City town,79.3,town,4
AL,Midway town,58.3,town,4
AL,Mignon CDP,75.2,CDP,3
AL,Millbrook city,91.3,city,4
AL,Millerville CDP,70.7,CDP,3
AL,Millport town,79.6,town,4
AL,Millry town,86.1,town,4
AL,Minor CDP,88.9,CDP,3
AL,Mobile city,86.9,city,4
AL,Monroeville city,82.3,city,4
AL,Montevallo city,86.6,city,4
AL,Montgomery city,85.5,city,4
AL,Moody city,87.9,city,4
AL,Moores Mill CDP,91,CDP,3
AL,Mooresville town,83.1,town,4
AL,Morris town,84.9,town,4
AL,Morrison Crossroads CDP,93.8,CDP,3
AL,Mosses town,60.4,town,4
AL,Moulton city,79.2,city,4
AL,Moundville town,77.3,town,4
AL,Mountain Brook city,99.5,city,4
AL,Mount Olive CDP (Coosa County),87.3,#VALUE!,#VALUE!
AL,Mount Olive CDP (Jefferson County),92.5,#VALUE!,#VALUE!
AL,Mount Vernon town,80.8,town,4
AL,Movico CDP,81.9,CDP,3
AL,Mulga town,72,town,4
AL,Munford town,87.3,town,4
AL,Muscle Shoals city,88.7,city,4
AL,Myrtlewood town,72.5,town,4
AL,Nanafalia CDP,94,CDP,3
AL,Nances Creek CDP,79.1,CDP,3
AL,Napier Field town,80.2,town,4
AL,Natural Bridge town,65.7,town,4
AL,Nauvoo town,67.2,town,4
AL,Nectar town,78.3,town,4
AL,Needham town,83.7,town,4
AL,Newbern town,74.6,town,4
AL,New Brockton town,79.8,#VALUE!,#VALUE!
AL,New Hope city,84.3,#VALUE!,#VALUE!
AL,New Market CDP,86.9,CDP,3
AL,New Site town,82.1,#VALUE!,#VALUE!
AL,Newton town,82.3,town,4
AL,New Union CDP,84,CDP,3
AL,Newville town,73,town,4
AL,North Courtland town,71.3,town,4
AL,North Johns town,75.6,town,4
AL,Northport city,90.2,city,4
AL,Notasulga town,80.7,town,4
AL,Oak Grove town,73,#VALUE!,#VALUE!
AL,Oak Hill town,27.3,#VALUE!,#VALUE!
AL,Oakman town,72.2,town,4
AL,Odenville town,76.4,town,4
AL,Ohatchee town,82,town,4
AL,Oneonta city,73.9,city,4
AL,Onycha town,60.5,town,4
AL,Opelika city,83.7,city,4
AL,Opp city,77.4,#VALUE!,#VALUE!
AL,Orange Beach city,92.6,city,4
AL,Orrville town,71.4,town,4
AL,Our Town CDP,78.6,CDP,3
AL,Owens Cross Roads town,86.7,town,4
AL,Oxford city,83.5,city,4
AL,Ozark city,82.5,city,4
AL,Paint Rock town,77.5,town,4
AL,Panola CDP,38.1,CDP,3
AL,Parrish town,75.3,town,4
AL,Pelham city,92.2,city,4
AL,Pell City city,86.5,city,4
AL,Pennington town,69.9,town,4
AL,Penton CDP,51.2,CDP,3
AL,Perdido CDP,78.5,CDP,3
AL,Perdido Beach town,86.3,town,4
AL,Peterman CDP,97.2,CDP,3
AL,Petrey town,86.5,town,4
AL,Phenix City city,84.8,city,4
AL,Phil Campbell town,78.5,town,4
AL,Pickensville town,70,town,4
AL,Piedmont city,76.8,city,4
AL,Pike Road town,95.8,town,4
AL,Pinckard town,88.6,town,4
AL,Pine Apple town,81.5,town,4
AL,Pine Hill town,89.1,town,4
AL,Pine Level CDP,90.5,CDP,3
AL,Pine Ridge town,54.6,town,4
AL,Pinson city,93.2,city,4
AL,Pisgah town,78.7,town,4
AL,Pleasant Grove city,91.1,city,4
AL,Pleasant Groves town,85,town,4
AL,Point Clear CDP,89.1,CDP,3
AL,Pollard town,82.3,town,4
AL,Powell town,61.2,town,4
AL,Prattville city,89.9,city,4
AL,Priceville town,91,town,4
AL,Prichard city,78.5,city,4
AL,Providence town,90.5,town,4
AL,Putnam CDP,72.8,CDP,3
AL,Ragland town,73.9,town,4
AL,Rainbow City city,92.5,city,4
AL,Rainsville city,82.3,city,4
AL,Ranburne town,86.5,town,4
AL,Ray CDP,82.9,CDP,3
AL,Red Bay city,77.1,#VALUE!,#VALUE!
AL,Redland CDP,91.8,CDP,3
AL,Red Level town,79.2,#VALUE!,#VALUE!
AL,Redstone Arsenal CDP,94,CDP,3
AL,Reece City town,85.6,town,4
AL,Reeltown CDP,78.5,CDP,3
AL,Reform town,79.4,town,4
AL,Rehobeth town,84.9,town,4
AL,Repton town,58,town,4
AL,Ridgeville town,69.6,town,4
AL,River Falls town,64.6,town,4
AL,Riverside town,87,town,4
AL,Riverview town,75.5,town,4
AL,Roanoke city,77.2,city,4
AL,Robertsdale city,79.9,city,4
AL,Rock Creek CDP,85.2,CDP,3
AL,Rockford town,68.4,town,4
AL,Rock Mills CDP,70.4,CDP,3
AL,Rockville CDP,64.7,CDP,3
AL,Rogersville town,81.9,town,4
AL,Rosa town,81.3,town,4
AL,Russellville city,68.9,city,4
AL,Rutledge town,69.8,town,4
AL,St. Florian town,91.7,#VALUE!,#VALUE!
AL,St. Stephens CDP,88.2,CDP,3
AL,Saks CDP,78.6,CDP,3
AL,Samson city,65.7,city,4
AL,Sand Rock town,80.8,town,4
AL,Sanford town,73.1,town,4
AL,Saraland city,85.4,city,4
AL,Sardis City town,88.7,town,4
AL,Satsuma city,91.8,city,4
AL,Scottsboro city,81.8,city,4
AL,Section town,76.6,town,4
AL,Selma city,77.8,city,4
AL,Selmont-West Selmont CDP,78.1,Selmont CDP,11
AL,Semmes city,77.3,city,4
AL,Sheffield city,79.5,city,4
AL,Shelby CDP,78.9,CDP,3
AL,Shiloh town,75.6,town,4
AL,Shoal Creek CDP,99.6,CDP,3
AL,Shorter town,68.4,town,4
AL,Silas town,66,town,4
AL,Silverhill town,89.3,town,4
AL,Sims Chapel CDP,100,CDP,3
AL,Sipsey town,83.2,town,4
AL,Skyline town,75.4,town,4
AL,Slocomb city,75.5,city,4
AL,Smiths Station city,80.3,city,4
AL,Smoke Rise CDP,92.7,CDP,3
AL,Snead town,80.3,town,4
AL,Somerville town,78.4,town,4
AL,Southside city,90.3,city,4
AL,South Vinemont town,79.1,town,4
AL,Spanish Fort city,95.8,city,4
AL,Spring Garden CDP,100,CDP,3
AL,Springville city,91.1,city,4
AL,Spruce Pine CDP,76.6,CDP,3
AL,Standing Rock CDP,61.4,Rock CDP,8
AL,Stapleton CDP,84.1,CDP,3
AL,Steele town,78.7,town,4
AL,Sterrett CDP,64.1,CDP,3
AL,Stevenson city,81.6,city,4
AL,Stewartville CDP,73.7,CDP,3
AL,Stockton CDP,91.3,CDP,3
AL,Sulligent city,74,city,4
AL,Sumiton city,85.1,city,4
AL,Summerdale town,85.3,town,4
AL,Susan Moore town,75,town,4
AL,Sweet Water town,92.5,town,4
AL,Sylacauga city,82.5,city,4
AL,Sylvania town,83.6,town,4
AL,Sylvan Springs town,86.9,town,4
AL,Talladega city,73.9,city,4
AL,Talladega Springs town,80.1,town,4
AL,Tallassee city,88.9,city,4
AL,Tarrant city,78.6,city,4
AL,Taylor town,83.6,town,4
AL,Theodore CDP,85.4,CDP,3
AL,Thomaston town,89.3,town,4
AL,Thomasville city,82.4,city,4
AL,Thorsby town,80.7,town,4
AL,Tibbie CDP,100,CDP,3
AL,Tidmore Bend CDP,80.6,CDP,3
AL,Tillmans Corner CDP,82.1,CDP,3
AL,Town Creek town,83.2,town,4
AL,Toxey town,85.6,town,4
AL,Trafford town,80.8,town,4
AL,Triana town,81.4,town,4
AL,Trinity town,93.7,town,4
AL,Troy city,83.7,city,4
AL,Trussville city,96.3,city,4
AL,Tuscaloosa city,87.3,city,4
AL,Tuscumbia city,86.2,city,4
AL,Tuskegee city,83.6,city,4
AL,Twin town,77.6,town,4
AL,Underwood-Petersville CDP,77.1,CDP,3
AL,Union town,76.2,town,4
AL,Union Grove town,91.7,town,4
AL,Union Springs city,57.1,city,4
AL,Uniontown town,66.1,town,4
AL,Uriah CDP,83.8,CDP,3
AL,Valley city,84.9,city,4
AL,Valley Grande city,85.9,city,4
AL,Valley Head town,75.7,town,4
AL,Vance town,88,town,4
AL,Vandiver CDP,75.9,CDP,3
AL,Vernon city,81,city,4
AL,Vestavia Hills city,97.3,city,4
AL,Vina town,57.3,town,4
AL,Vincent town,77.5,town,4
AL,Vinegar Bend CDP,64.5,CDP,3
AL,Vredenburgh town,73.5,town,4
AL,Wadley town,73.9,town,4
AL,Waldo town,75.8,town,4
AL,Walnut Grove town,68.4,town,4
AL,Warrior city,86.9,city,4
AL,Waterloo town,73.6,town,4
AL,Waverly town,74.1,town,4
AL,Weaver city,83.9,city,4
AL,Webb town,78,town,4
AL,Wedowee town,70.1,town,4
AL,Weogufka CDP,56.3,CDP,3
AL,West Blocton town,79.9,town,4
AL,West End-Cobb Town CDP,68.1,CDP,3
AL,West Jefferson town,88.3,town,4
AL,Westover town,85.2,town,4
AL,West Point town,86.9,town,4
AL,Wetumpka city,85,city,4
AL,Whatley CDP,-,CDP,3
AL,White Hall town,66.6,town,4
AL,White Plains CDP,95.7,CDP,3
AL,Whitesboro CDP,84.4,CDP,3
AL,Wilsonville town,88,town,4
AL,Wilton town,84.6,town,4
AL,Winfield city,86.8,city,4
AL,Woodland town,86.4,town,4
AL,Woodstock town,89.5,town,4
AL,Woodville town,77.7,town,4
AL,Yellow Bluff town,62,town,4
AL,York city,77.1,city,4
AK,Adak city,93.4,city,4
AK,Akhiok city,62.5,city,4
AK,Akiachak CDP,76.7,CDP,3
AK,Akiak city,81.3,city,4
AK,Akutan city,73,city,4
AK,Alakanuk city,65.4,city,4
AK,Alatna CDP,100,CDP,3
AK,Alcan Border CDP,100,CDP,3
AK,Aleknagik city,84,city,4
AK,Aleneva CDP,0,CDP,3
AK,Allakaket city,72.9,city,4
AK,Ambler city,78.7,city,4
AK,Anaktuvuk Pass city,80.9,Pass city,9
AK,Anchorage municipality,93,#VALUE!,#VALUE!
AK,Anchor Point CDP,93.8,CDP,3
AK,Anderson city,98.6,city,4
AK,Angoon city,86.7,city,4
AK,Aniak city,83.8,city,4
AK,Anvik city,94.2,city,4
AK,Arctic Village CDP,75,CDP,3
AK,Atka city,89.5,city,4
AK,Atmautluak CDP,70.2,CDP,3
AK,Atqasuk city,75.9,city,4
AK,Attu Station CDP,100,CDP,3
AK,Badger CDP,96.2,CDP,3
AK,Barrow city,84.6,city,4
AK,Bear Creek CDP,92.5,CDP,3
AK,Beaver CDP,69.8,CDP,3
AK,Beluga CDP,66.7,CDP,3
AK,Bethel city,85.8,city,4
AK,Bettles city,100,city,4
AK,Big Delta CDP,97.6,CDP,3
AK,Big Lake CDP,90.4,CDP,3
AK,Birch Creek CDP,0,CDP,3
AK,Brevig Mission city,78,city,4
AK,Buckland city,86.2,city,4
AK,Buffalo Soapstone CDP,90.4,CDP,3
AK,Butte CDP,94.3,CDP,3
AK,Cantwell CDP,95,CDP,3
AK,Central CDP,82.2,CDP,3
AK,Chalkyitsik CDP,88.7,CDP,3
AK,Chase CDP,65.2,CDP,3
AK,Chefornak city,74.3,city,4
AK,Chena Ridge CDP,96.5,CDP,3
AK,Chenega CDP,100,CDP,3
AK,Chevak city,82.8,city,4
AK,Chickaloon CDP,91.7,CDP,3
AK,Chicken CDP,-,CDP,3
AK,Chignik city,100,city,4
AK,Chignik Lagoon CDP,84,CDP,3
AK,Chignik Lake CDP,68.2,CDP,3
AK,Chiniak CDP,100,CDP,3
AK,Chisana CDP,-,CDP,3
AK,Chistochina CDP,80,CDP,3
AK,Chitina CDP,82.6,CDP,3
AK,Chuathbaluk city,92,city,4
AK,Circle CDP,54.3,CDP,3
AK,Clam Gulch CDP,84.3,CDP,3
AK,Clark's Point city,74.2,city,4
AK,Coffman Cove city,91.9,city,4
AK,Cohoe CDP,95,CDP,3
AK,Cold Bay city,97.5,city,4
AK,Coldfoot CDP,70,CDP,3
AK,College CDP,94.9,CDP,3
AK,Cooper Landing CDP,95.3,CDP,3
AK,Copper Center CDP,84.8,CDP,3
AK,Cordova city,91.6,city,4
AK,Covenant Life CDP,100,Life CDP,8
AK,Craig city,89.3,city,4
AK,Crooked Creek CDP,80.8,CDP,3
AK,Crown Point CDP,100,CDP,3
AK,Deering city,88,city,4
AK,Delta Junction city,95.4,city,4
AK,Deltana CDP,93.8,CDP,3
AK,Diamond Ridge CDP,97,CDP,3
AK,Dillingham city,93.6,city,4
AK,Diomede city,63.6,city,4
AK,Dot Lake CDP,-,CDP,3
AK,Dot Lake Village CDP,64.9,CDP,3
AK,Dry Creek CDP,100,CDP,3
AK,Eagle city,90.7,city,4
AK,Eagle Village CDP,82.4,CDP,3
AK,Edna Bay city,-,city,4
AK,Eek city,68.7,#VALUE!,#VALUE!
AK,Egegik city,91.1,city,4
AK,Eielson AFB CDP,96.6,AFB CDP,7
AK,Ekwok city,63.4,city,4
AK,Elfin Cove CDP,100,CDP,3
AK,Elim city,86.9,city,4
AK,Emmonak city,83.9,city,4
AK,Ester CDP,95,CDP,3
AK,Eureka Roadhouse CDP,-,CDP,3
AK,Evansville CDP,78.6,CDP,3
AK,Excursion Inlet CDP,86.7,Inlet CDP,9
AK,Fairbanks city,91.2,city,4
AK,False Pass city,100,city,4
AK,Farmers Loop CDP,98.9,CDP,3
AK,Farm Loop CDP,92.4,CDP,3
AK,Ferry CDP,100,CDP,3
AK,Fishhook CDP,94.5,CDP,3
AK,Flat CDP,-,CDP,3
AK,Fort Greely CDP,100,CDP,3
AK,Fort Yukon city,77.1,city,4
AK,Four Mile Road CDP,50,CDP,3
AK,Fox CDP,100,CDP,3
AK,Fox River CDP,37.9,CDP,3
AK,Fritz Creek CDP,92.7,CDP,3
AK,Funny River CDP,94.3,CDP,3
AK,Gakona CDP,92.9,CDP,3
AK,Galena city,86.4,city,4
AK,Gambell city,72.4,city,4
AK,Game Creek CDP,100,CDP,3
AK,Gateway CDP,96.1,CDP,3
AK,Glacier View CDP,90.2,CDP,3
AK,Glennallen CDP,94.4,CDP,3
AK,Goldstream CDP,97.3,CDP,3
AK,Golovin city,90.4,city,4
AK,Goodnews Bay city,58.6,Bay city,8
AK,Grayling city,70.4,city,4
AK,Gulkana CDP,91.2,CDP,3
AK,Gustavus city,95.6,city,4
AK,Haines CDP,95.4,CDP,3
AK,Halibut Cove CDP,100,CDP,3
AK,Happy Valley CDP,91.4,CDP,3
AK,Harding-Birch Lakes CDP,94.5,Lakes CDP,9
AK,Healy CDP,93.6,CDP,3
AK,Healy Lake CDP,-,CDP,3
AK,Hobart Bay CDP,-,CDP,3
AK,Hollis CDP,89.5,CDP,3
AK,Holy Cross city,86.1,city,4
AK,Homer city,95.9,city,4
AK,Hoonah city,87.7,city,4
AK,Hooper Bay city,75,city,4
AK,Hope CDP,100,CDP,3
AK,Houston city,90.2,city,4
AK,Hughes city,92.6,city,4
AK,Huslia city,93.1,city,4
AK,Hydaburg city,90.1,city,4
AK,Hyder CDP,53.8,CDP,3
AK,Igiugig CDP,90.3,CDP,3
AK,Iliamna CDP,88.7,CDP,3
AK,Ivanof Bay CDP,-,CDP,3
AK,Juneau city and borough,94.8,#VALUE!,#VALUE!
AK,Kachemak city,92.6,city,4
AK,Kake city,85.7,city,4
AK,Kaktovik city,76.5,city,4
AK,Kalifornsky CDP,96.3,CDP,3
AK,Kaltag city,86.4,city,4
AK,Karluk CDP,85,CDP,3
