Geographic Area,City,percent_completed_hs,,
NY,Bridgehampton CDP,93.8,CDP,3
NY,Bridgeport CDP,83.4,CDP,3
NY,Bridgewater CDP,86.4,CDP,3
NY,Brighton CDP,94.4,CDP,3
NY,Brightwaters village,98.6,village,7
NY,Brinckerhoff CDP,94.6,CDP,3
NY,Broadalbin village,91.6,village,7
NY,Brockport village,92.9,village,7
NY,Brocton village,85.9,village,7
NY,Bronxville village,98.7,village,7
NY,Brookhaven CDP,88.4,CDP,3
NY,Brookville village,97.9,village,7
NY,Brownville village,89.7,village,7
NY,Brushton village,86.7,village,7
NY,Buchanan village,92.5,village,7
NY,Buffalo city,82.7,city,4
NY,Burdett village,91.9,village,7
NY,Burke village,89,#VALUE!,#VALUE!
NY,Busti CDP,87.8,CDP,3
NY,Byersville CDP,87.3,CDP,3
NY,Cairo CDP,69.6,CDP,3
NY,Calcium CDP,88.9,CDP,3
NY,Caledonia village,93.7,village,7
NY,Callicoon CDP,98.5,CDP,3
NY,Calverton CDP,89.9,CDP,3
NY,Cambridge village,86.3,village,7
NY,Camden village,88.1,#VALUE!,#VALUE!
NY,Camillus village,96.9,village,7
NY,Campbell CDP,92.1,CDP,3
NY,Canajoharie village,85.2,village,7
NY,Canandaigua city,93.8,city,4
NY,Canaseraga village,87.3,village,7
NY,Canastota village,94.3,village,7
NY,Candor village,90.7,#VALUE!,#VALUE!
NY,Canisteo village,91.3,village,7
NY,Canton village,90.6,#VALUE!,#VALUE!
NY,Cape Vincent village,95.6,#VALUE!,#VALUE!
NY,Carle Place CDP,86.8,CDP,3
NY,Carmel Hamlet CDP,86.1,CDP,3
NY,Caroga Lake CDP,97.5,CDP,3
NY,Carthage village,85.3,village,7
NY,Cassadaga village,91.9,village,7
NY,Castile village,91,village,7
NY,Castleton-on-Hudson village,91.4,village,7
NY,Castorland village,88.4,village,7
NY,Cato village,93.9,#VALUE!,#VALUE!
NY,Catskill village,96.2,village,7
NY,Cattaraugus village,90.2,village,7
NY,Cayuga village,93.6,#VALUE!,#VALUE!
NY,Cayuga Heights village,97.5,#VALUE!,#VALUE!
NY,Cazenovia village,93.8,village,7
NY,Cedarhurst village,95.3,village,7
NY,Celoron village,81.6,village,7
NY,Centereach CDP,93,CDP,3
NY,Center Moriches CDP,91.1,CDP,3
NY,Centerport CDP,97.6,CDP,3
NY,Central Bridge CDP,83.2,CDP,3
NY,Central Islip CDP,71,CDP,3
NY,Central Square village,89,village,7
NY,Centre Island village,97.9,#VALUE!,#VALUE!
NY,Chadwicks CDP,87.4,CDP,3
NY,Champlain village,86.9,village,7
NY,Chappaqua CDP,96.1,CDP,3
NY,Chateaugay village,87.1,village,7
NY,Chatham village,88.9,village,7
NY,Chaumont village,91.2,village,7
NY,Chautauqua CDP,96.5,CDP,3
NY,Chazy CDP,94.1,CDP,3
NY,Cheektowaga CDP,90.3,CDP,3
NY,Chenango Bridge CDP,94.7,CDP,3
NY,Cherry Creek village,86.2,#VALUE!,#VALUE!
NY,Cherry Valley village,90.6,#VALUE!,#VALUE!
NY,Chester village,92.1,village,7
NY,Chestertown CDP,92.9,CDP,3
NY,Chestnut Ridge village,92.1,village,7
NY,Chittenango village,91.7,village,7
NY,Churchville village,96.2,village,7
NY,Clarence CDP,94.2,CDP,3
NY,Clarence Center CDP,98.8,CDP,3
NY,Clark Mills CDP,93.1,CDP,3
NY,Clarkson CDP,92.5,CDP,3
NY,Claverack-Red Mills CDP,88.5,Mills CDP,9
NY,Clayton village,92.1,village,7
NY,Clayville village,85.7,village,7
NY,Cleveland village,87.8,village,7
NY,Clifton Springs village,88.8,village,7
NY,Clinton village,97.5,village,7
NY,Clintondale CDP,89.3,CDP,3
NY,Clyde village,85.3,#VALUE!,#VALUE!
NY,Cobleskill village,87.2,village,7
NY,Cohocton village,85.2,village,7
NY,Cohoes city,87.3,city,4
NY,Cold Brook village,87.5,#VALUE!,#VALUE!
NY,Cold Spring village,97.1,#VALUE!,#VALUE!
NY,Cold Spring Harbor CDP,98,CDP,3
NY,Colonie village,94.2,village,7
NY,Colton CDP,92.4,CDP,3
NY,Commack CDP,95.7,CDP,3
NY,Conesus Hamlet CDP,100,CDP,3
NY,Conesus Lake CDP,96.8,CDP,3
NY,Congers CDP,90.3,CDP,3
NY,Constableville village,91.7,village,7
NY,Constantia CDP,88.2,CDP,3
NY,Coopers Plains CDP,100,CDP,3
NY,Cooperstown village,94.9,village,7
NY,Copake Falls CDP,100,CDP,3
NY,Copake Hamlet CDP,87.4,CDP,3
NY,Copake Lake CDP,92.7,CDP,3
NY,Copenhagen village,83.3,village,7
NY,Copiague CDP,79.8,CDP,3
NY,Coram CDP,92.7,CDP,3
NY,Corfu village,95.6,#VALUE!,#VALUE!
NY,Corinth village,86.9,village,7
NY,Corning city,93.2,city,4
NY,Cornwall-on-Hudson village,94.7,village,7
NY,Cortland city,88.7,city,4
NY,Cortland West CDP,86.2,West CDP,8
NY,Country Knolls CDP,99.1,CDP,3
NY,Cove Neck village,98,#VALUE!,#VALUE!
NY,Coxsackie village,83.1,village,7
NY,Cragsmoor CDP,93.5,CDP,3
NY,Cranberry Lake CDP,94.2,Lake CDP,8
NY,Croghan village,87.4,village,7
NY,Crompond CDP,91.9,CDP,3
NY,Croton-on-Hudson village,93.1,village,7
NY,Crown Heights CDP,91.5,CDP,3
NY,Crugers CDP,74.2,CDP,3
NY,Crystal Beach CDP,80.2,CDP,3
NY,Cuba village,95,#VALUE!,#VALUE!
NY,Cumberland Head CDP,90.1,Head CDP,8
NY,Cumminsville CDP,79.3,CDP,3
NY,Cutchogue CDP,94.7,CDP,3
NY,Cuylerville CDP,82.7,CDP,3
NY,Dalton CDP,95.5,CDP,3
NY,Dannemora village,70.6,village,7
NY,Dansville village,81.1,village,7
NY,Davenport Center CDP,85.8,CDP,3
NY,Deer Park CDP,90.7,CDP,3
NY,Deferiet village,90.9,village,7
NY,DeKalb Junction CDP,84.7,CDP,3
NY,Delanson village,98.4,village,7
NY,Delevan village,87.9,village,7
NY,Delhi village,88,#VALUE!,#VALUE!
NY,Depauville CDP,97.5,CDP,3
NY,Depew village,93.1,#VALUE!,#VALUE!
NY,Deposit village,88.8,village,7
NY,Dering Harbor village,100,#VALUE!,#VALUE!
NY,DeRuyter village,92.2,village,7
NY,Dexter village,82.9,#VALUE!,#VALUE!
NY,Dix Hills CDP,95.1,CDP,3
NY,Dobbs Ferry village,94.9,#VALUE!,#VALUE!
NY,Dolgeville village,87.2,village,7
NY,Dover Plains CDP,71.3,CDP,3
NY,Downsville CDP,78.9,CDP,3
NY,Dresden village,64.3,village,7
NY,Dryden village,91.9,#VALUE!,#VALUE!
NY,Duane Lake CDP,100,CDP,3
NY,Duanesburg CDP,100,CDP,3
NY,Dundee village,86,#VALUE!,#VALUE!
NY,Dunkirk city,85.8,city,4
NY,Durhamville CDP,87,CDP,3
NY,Earlville village,90.7,village,7
NY,East Atlantic Beach CDP,98,CDP,3
NY,East Aurora village,93.8,#VALUE!,#VALUE!
NY,East Avon CDP,83.7,CDP,3
NY,Eastchester CDP,93.7,CDP,3
NY,East Farmingdale CDP,87.9,CDP,3
NY,East Garden City CDP,93.6,CDP,3
NY,East Glenville CDP,96.4,CDP,3
NY,East Greenbush CDP,97,CDP,3
NY,East Hampton village,96.5,#VALUE!,#VALUE!
NY,East Hampton North CDP,86.2,CDP,3
NY,East Hills village,98.4,#VALUE!,#VALUE!
NY,East Islip CDP,94.2,CDP,3
NY,East Ithaca CDP,97.7,CDP,3
NY,East Kingston CDP,94.5,CDP,3
NY,East Marion CDP,93.1,CDP,3
NY,East Massapequa CDP,92.4,CDP,3
NY,East Meadow CDP,91.1,CDP,3
NY,East Moriches CDP,95.6,CDP,3
NY,East Nassau village,97,#VALUE!,#VALUE!
NY,East Northport CDP,95.1,CDP,3
NY,East Norwich CDP,96.4,CDP,3
NY,East Patchogue CDP,86.5,CDP,3
NY,Eastport CDP,94.2,CDP,3
NY,East Quogue CDP,96.6,CDP,3
NY,East Randolph CDP,83.5,CDP,3
NY,East Rochester village,91.5,#VALUE!,#VALUE!
NY,East Rockaway village,96.2,#VALUE!,#VALUE!
NY,East Shoreham CDP,95.4,CDP,3
NY,East Syracuse village,87,#VALUE!,#VALUE!
NY,East Williston village,99,#VALUE!,#VALUE!
NY,Eatons Neck CDP,99.3,CDP,3
NY,Eden CDP,95.2,CDP,3
NY,Edmeston CDP,89.9,CDP,3
NY,Edwards CDP,87.1,CDP,3
NY,Eggertsville CDP,94.5,CDP,3
NY,Elba village,93.1,#VALUE!,#VALUE!
NY,Elbridge village,96.9,village,7
NY,Elizabethtown CDP,92.1,CDP,3
NY,Ellenville village,79.8,village,7
NY,Ellicottville village,95.9,village,7
NY,Ellisburg village,91.8,village,7
NY,Elma Center CDP,96.3,CDP,3
NY,Elmira city,82.8,city,4
NY,Elmira Heights village,89.7,#VALUE!,#VALUE!
NY,Elmont CDP,86.2,CDP,3
NY,Elmsford village,83.3,village,7
NY,Elwood CDP,92.2,CDP,3
NY,Endicott village,88.7,village,7
NY,Endwell CDP,94.2,CDP,3
NY,Erin CDP,89.7,CDP,3
NY,Esperance village,96.4,village,7
NY,Evans Mills village,91.9,#VALUE!,#VALUE!
NY,Fabius village,94.9,#VALUE!,#VALUE!
NY,Fair Haven village,93.7,#VALUE!,#VALUE!
NY,Fairmount CDP,94.3,CDP,3
NY,Fairport village,95,village,7
NY,Fairview CDP (Dutchess County),86.4,County),7
NY,Fairview CDP (Westchester County),82.8,County),7
NY,Falconer village,92.6,village,7
NY,Farmingdale village,91.3,village,7
NY,Farmingville CDP,92.1,CDP,3
NY,Farnham village,87.5,village,7
NY,Fayetteville village,97.1,village,7
NY,Felts Mills CDP,100,CDP,3
NY,Fillmore CDP,96.9,CDP,3
NY,Fire Island CDP,89.6,CDP,3
NY,Firthcliffe CDP,95.9,CDP,3
NY,Fishers Island CDP,95.4,CDP,3
NY,Fishers Landing CDP,90,CDP,3
NY,Fishkill village,91.6,village,7
NY,Flanders CDP,61.9,CDP,3
NY,Fleischmanns village,78.9,village,7
NY,Floral Park village,95.8,#VALUE!,#VALUE!
NY,Florida village,94.4,village,7
NY,Flower Hill village,93.9,#VALUE!,#VALUE!
NY,Fonda village,89.8,#VALUE!,#VALUE!
NY,Forest Home CDP,99,CDP,3
NY,Forestville village,90.8,village,7
NY,Fort Ann village,93.6,#VALUE!,#VALUE!
NY,Fort Covington Hamlet CDP,88.7,CDP,3
NY,Fort Drum CDP,95.6,CDP,3
NY,Fort Edward village,89.1,#VALUE!,#VALUE!
NY,Fort Johnson village,92.1,#VALUE!,#VALUE!
NY,Fort Montgomery CDP,91.2,CDP,3
NY,Fort Plain village,83.3,#VALUE!,#VALUE!
NY,Fort Salonga CDP,98,CDP,3
NY,Fowlerville CDP,76.1,CDP,3
NY,Frankfort village,87.5,village,7
NY,Franklin village,92.7,village,7
NY,Franklin Square CDP,88.4,CDP,3
NY,Franklinville village,89.7,village,7
NY,Fredonia village,96.2,village,7
NY,Freedom Plains CDP,95.5,CDP,3
NY,Freeport village,81.2,village,7
NY,Freeville village,99.2,village,7
NY,Frewsburg CDP,89.1,CDP,3
NY,Friendship CDP,82,CDP,3
NY,Fulton city,83.8,city,4
NY,Fultonville village,84.3,village,7
NY,Gainesville village,91.1,village,7
NY,Galeville CDP,82.6,CDP,3
NY,Galway village,88.3,#VALUE!,#VALUE!
NY,Gang Mills CDP,92.3,CDP,3
NY,Garden City village,97.4,#VALUE!,#VALUE!
NY,Garden City Park CDP,90.3,CDP,3
NY,Garden City South CDP,88.6,CDP,3
NY,Gardiner CDP,91.8,CDP,3
NY,Gardnertown CDP,90.9,CDP,3
NY,Gasport CDP,91.6,CDP,3
NY,Gates CDP,84.6,CDP,3
NY,Geneseo village,88.4,village,7
NY,Geneva city,87.1,city,4
NY,Germantown CDP,96.6,CDP,3
NY,Ghent CDP,91.5,CDP,3
NY,Gilbertsville village,87.8,village,7
NY,Gilgo CDP,100,CDP,3
NY,Glasco CDP,80,CDP,3
NY,Glen Aubrey CDP,87.3,CDP,3
NY,Glen Cove city,80.3,city,4
NY,Glen Head CDP,94.5,CDP,3
NY,Glen Park village,88.2,#VALUE!,#VALUE!
NY,Glens Falls city,89.3,city,4
NY,Glens Falls North CDP,95.2,CDP,3
NY,Glenwood Landing CDP,98.2,CDP,3
NY,Gloversville city,80.7,city,4
NY,Golden's Bridge CDP,99.2,CDP,3
NY,Gordon Heights CDP,82,CDP,3
NY,Gorham CDP,100,CDP,3
NY,Goshen village,92.8,#VALUE!,#VALUE!
NY,Gouverneur village,86.7,village,7
NY,Gowanda village,83.2,village,7
NY,Grand View-on-Hudson village,99.6,#VALUE!,#VALUE!
NY,Grandyle Village CDP,93.9,CDP,3
NY,Granville village,85.3,village,7
NY,Great Bend CDP,92.7,CDP,3
NY,Great Neck village,90.3,#VALUE!,#VALUE!
NY,Great Neck Estates village,98.3,#VALUE!,#VALUE!
NY,Great Neck Gardens CDP,86.1,CDP,3
NY,Great Neck Plaza village,92.7,#VALUE!,#VALUE!
NY,Great River CDP,97.8,CDP,3
NY,Greece CDP,91.8,CDP,3
NY,Greene village,91.5,#VALUE!,#VALUE!
NY,Green Island village,93.2,#VALUE!,#VALUE!
NY,Greenlawn CDP,92.4,CDP,3
NY,Greenport village,81,village,7
NY,Greenport West CDP,95.3,West CDP,8
NY,Greenvale CDP,93.2,CDP,3
NY,Greenville CDP (Greene County),79.1,County),7
NY,Greenville CDP (Westchester County),96.3,County),7
NY,Greenwich village,93.6,village,7
NY,Greenwood Lake village,95.1,village,7
NY,Greigsville CDP,95.9,CDP,3
NY,Groton village,91.1,#VALUE!,#VALUE!
NY,Groveland Station CDP,89.8,CDP,3
NY,Guilford CDP,88,CDP,3
NY,Hadley CDP,86.1,CDP,3
NY,Hagaman village,93.7,village,7
NY,Hailesboro CDP,93.7,CDP,3
NY,Halesite CDP,99.4,CDP,3
NY,Hall CDP,93.3,CDP,3
NY,Hamburg village,95.8,village,7
NY,Hamilton village,93.5,village,7
NY,Hamlin CDP,94.2,CDP,3
NY,Hammond village,93.9,village,7
NY,Hammondsport village,95.7,village,7
NY,Hampton Bays CDP,89.7,CDP,3
NY,Hampton Manor CDP,97.6,CDP,3
NY,Hancock village,89.4,village,7
NY,Hannawa Falls CDP,96.6,CDP,3
NY,Hannibal village,88.5,village,7
NY,Harbor Hills CDP,87.8,CDP,3
NY,Harbor Isle CDP,96.6,CDP,3
NY,Harriman village,85.8,village,7
NY,Harris Hill CDP,97.9,CDP,3
NY,Harrison village,90.8,village,7
NY,Harrisville village,90.3,village,7
NY,Hartsdale CDP,94.3,CDP,3
NY,Hartwick CDP,90.1,CDP,3
NY,Hastings-on-Hudson village,97.1,village,7
NY,Hauppauge CDP,96.1,CDP,3
NY,Haverstraw village,74,village,7
NY,Haviland CDP,95.2,CDP,3
NY,Hawthorne CDP,90.3,CDP,3
NY,Head of the Harbor village,97.4,#VALUE!,#VALUE!
NY,Hemlock CDP,94.7,CDP,3
NY,Hempstead village,71.2,village,7
NY,Henderson CDP,94.3,CDP,3
NY,Heritage Hills CDP,95.5,CDP,3
NY,Herkimer village,89.3,village,7
NY,Hermon village,80.6,#VALUE!,#VALUE!
NY,Herricks CDP,94.1,CDP,3
NY,Herrings village,84.7,village,7
NY,Heuvelton village,91,village,7
NY,Hewlett CDP,96.6,CDP,3
NY,Hewlett Bay Park village,97,village,7
NY,Hewlett Harbor village,99.2,village,7
NY,Hewlett Neck village,99.1,village,7
NY,Hicksville CDP,90.8,CDP,3
NY,High Falls CDP,94.9,CDP,3
NY,Highland CDP,87.1,CDP,3
NY,Highland Falls village,93.4,village,7
NY,Hillburn village,89.9,village,7
NY,Hillcrest CDP,84.2,CDP,3
NY,Hillside CDP,89.6,CDP,3
NY,Hillside Lake CDP,87.3,Lake CDP,8
NY,Hilton village,94.9,#VALUE!,#VALUE!
NY,Hobart village,92.3,#VALUE!,#VALUE!
NY,Holbrook CDP,93.2,CDP,3
NY,Holland CDP,90.3,CDP,3
NY,Holland Patent village,95.7,village,7
NY,Holley village,88.4,#VALUE!,#VALUE!
NY,Holtsville CDP,92.5,CDP,3
NY,Homer village,92.8,#VALUE!,#VALUE!
NY,Honeoye CDP,97.3,CDP,3
NY,Honeoye Falls village,96.4,village,7
NY,Hoosick Falls village,92.3,village,7
NY,Hopewell Junction CDP,88.3,CDP,3
NY,Hornell city,88.8,city,4
NY,Horseheads village,93.8,village,7
NY,Horseheads North CDP,99.2,North CDP,9
NY,Hortonville CDP,94.5,CDP,3
NY,Houghton CDP,97,CDP,3
NY,Hudson city,80.7,city,4
NY,Hudson Falls village,85.7,#VALUE!,#VALUE!
NY,Hunt CDP,78.9,CDP,3
NY,Hunter village,95.8,#VALUE!,#VALUE!
NY,Huntington CDP,96.6,CDP,3
NY,Huntington Bay village,99.3,village,7
NY,Huntington Station CDP,77.6,CDP,3
NY,Hurley CDP,95.4,CDP,3
NY,Hyde Park CDP,94.2,CDP,3
NY,Ilion village,89.7,#VALUE!,#VALUE!
NY,Interlaken village,89,village,7
NY,Inwood CDP,75.4,CDP,3
NY,Irondequoit CDP,91.9,CDP,3
NY,Irvington village,95.7,village,7
NY,Islandia village,87.5,village,7
NY,Island Park village,91.1,#VALUE!,#VALUE!
NY,Islip CDP,92.4,CDP,3
NY,Islip Terrace CDP,94.2,CDP,3
NY,Ithaca city,94.2,city,4
NY,Jamesport CDP,100,CDP,3
NY,Jamestown city,85.9,city,4
NY,Jamestown West CDP,85.5,West CDP,8
NY,Jefferson Heights CDP,77.1,CDP,3
NY,Jefferson Valley-Yorktown CDP,95.2,CDP,3
NY,Jeffersonville village,86.2,village,7
NY,Jericho CDP,95.5,CDP,3
NY,Johnson City village,89.4,village,7
NY,Johnstown city,89,city,4
NY,Jordan village,94.1,#VALUE!,#VALUE!
NY,Kaser village,76.4,#VALUE!,#VALUE!
NY,Katonah CDP,94.7,CDP,3
NY,Keeseville village,81.8,village,7
NY,Kenmore village,92.8,village,7
NY,Kennedy CDP,85.5,CDP,3
NY,Kensington village,96.6,village,7
NY,Kerhonkson CDP,82.8,CDP,3
NY,Keuka Park CDP,100,CDP,3
NY,Kinderhook village,97.8,village,7
NY,Kings Park CDP,93.5,CDP,3
NY,Kings Point village,88.6,#VALUE!,#VALUE!
NY,Kingston city,84.5,city,4
NY,Kiryas Joel village,64,#VALUE!,#VALUE!
NY,Kysorville CDP,64.3,CDP,3
NY,Lackawanna city,83.2,city,4
NY,Lacona village,88.4,#VALUE!,#VALUE!
NY,La Fargeville CDP,97.2,#VALUE!,#VALUE!
NY,Lake Carmel CDP,93.4,CDP,3
NY,Lake Erie Beach CDP,96.7,CDP,3
NY,Lake George village,88.2,#VALUE!,#VALUE!
NY,Lake Grove village,93.4,#VALUE!,#VALUE!
NY,Lake Katrine CDP,86,CDP,3
NY,Lakeland CDP,94.2,CDP,3
NY,Lake Luzerne CDP,89.3,CDP,3
NY,Lake Mohegan CDP,94.4,CDP,3
NY,Lake Placid village,91.1,#VALUE!,#VALUE!
NY,Lake Ronkonkoma CDP,91.8,CDP,3
NY,Lake Success village,90.6,#VALUE!,#VALUE!
NY,Lakeview CDP,82.4,CDP,3
NY,Lakeville CDP,78.4,CDP,3
NY,Lakewood village,93.9,village,7
NY,Lancaster village,94.3,village,7
NY,Lansing village,98.6,village,7
NY,Larchmont village,98.2,village,7
NY,Lattingtown village,91.1,village,7
NY,Laurel CDP,95.2,CDP,3
NY,Laurel Hollow village,97.3,#VALUE!,#VALUE!
NY,Laurens village,92.4,village,7
NY,Lawrence village,97.6,village,7
NY,Leeds CDP,80.7,CDP,3
NY,Leicester village,87.8,village,7
NY,Le Roy village,88.9,#VALUE!,#VALUE!
NY,Levittown CDP,92.4,CDP,3
NY,Lewiston village,96.8,village,7
NY,Liberty village,79.9,village,7
NY,Lido Beach CDP,96.4,CDP,3
NY,Lima village,91.6,#VALUE!,#VALUE!
NY,Lime Lake CDP,86.4,CDP,3
NY,Limestone CDP,89.8,CDP,3
NY,Lincolndale CDP,98,CDP,3
NY,Lincoln Park CDP,85.2,CDP,3
NY,Lindenhurst village,89.4,village,7
NY,Linwood CDP,100,CDP,3
NY,Lisle village,93,#VALUE!,#VALUE!
NY,Little Falls city,89,city,4
NY,Little Valley village,81.9,#VALUE!,#VALUE!
NY,Liverpool village,96,village,7
NY,Livingston Manor CDP,76.9,Manor CDP,9
NY,Livonia village,96.7,village,7
NY,Livonia Center CDP,93.5,CDP,3
NY,Lloyd Harbor village,98.3,#VALUE!,#VALUE!
NY,Loch Sheldrake CDP,85.1,CDP,3
NY,Lockport city,88.8,city,4
NY,Locust Valley CDP,87.1,CDP,3
NY,Lodi village,90.8,#VALUE!,#VALUE!
NY,Long Beach city,93.9,city,4
NY,Long Lake CDP,73.9,CDP,3
NY,Lorenz Park CDP,88.1,CDP,3
NY,Lorraine CDP,88.4,CDP,3
NY,Lowville village,92.3,village,7
NY,Lynbrook village,93,village,7
NY,Lyncourt CDP,86.9,CDP,3
NY,Lyndonville village,92.4,village,7
NY,Lyon Mountain CDP,86.3,CDP,3
NY,Lyons village,84.6,#VALUE!,#VALUE!
NY,Lyons Falls village,88.6,#VALUE!,#VALUE!
NY,Macedon village,95.2,village,7
NY,McGraw village,84.9,#VALUE!,#VALUE!
NY,Machias CDP,93.9,CDP,3
NY,Madison village,81.2,village,7
NY,Madrid CDP,73.3,CDP,3
NY,Mahopac CDP,93.7,CDP,3
NY,Malden-on-Hudson CDP,76.1,CDP,3
NY,Malone village,81.2,#VALUE!,#VALUE!
NY,Malverne village,95.6,village,7
NY,Malverne Park Oaks CDP,100,Oaks CDP,8
NY,Mamaroneck village,87.7,village,7
NY,Manchester village,92.3,village,7
NY,Manhasset CDP,92.1,CDP,3
NY,Manhasset Hills CDP,89.9,Hills CDP,9
NY,Manlius village,96.7,village,7
NY,Mannsville village,87.6,village,7
NY,Manorhaven village,92.7,village,7
NY,Manorville CDP,96,CDP,3
NY,Marathon village,93.6,village,7
NY,Marcellus village,98,village,7
NY,Margaretville village,81.2,village,7
NY,Mariaville Lake CDP,96.2,Lake CDP,8
NY,Marion CDP,87.1,CDP,3
NY,Marlboro CDP,92.7,CDP,3
NY,Massapequa CDP,95.9,CDP,3
NY,Massapequa Park village,96.8,village,7
NY,Massena village,89.3,village,7
NY,Mastic CDP,86.3,CDP,3
NY,Mastic Beach village,86,#VALUE!,#VALUE!
NY,Matinecock village,97.9,village,7
NY,Mattituck CDP,94.9,CDP,3
NY,Mattydale CDP,91.1,CDP,3
NY,Maybrook village,90.6,village,7
NY,Mayfield village,91.2,village,7
NY,Mayville village,87.3,village,7
NY,Mechanicstown CDP,86.2,CDP,3
NY,Mechanicville city,90.4,city,4
NY,Medford CDP,89.3,CDP,3
NY,Medina village,90.8,#VALUE!,#VALUE!
NY,Melrose Park CDP,97.3,CDP,3
NY,Melville CDP,96,CDP,3
NY,Menands village,95.3,village,7
NY,Meridian village,91.1,village,7
NY,Merrick CDP,96.8,CDP,3
NY,Merritt Park CDP,98.4,CDP,3
NY,Mexico village,93.7,#VALUE!,#VALUE!
NY,Middleburgh village,88.3,village,7
NY,Middle Island CDP,93.8,CDP,3
NY,Middleport village,89.8,village,7
NY,Middletown city,83,city,4
NY,Middleville village,90.5,village,7
NY,Milford village,89.1,village,7
NY,Millbrook village,93.5,village,7
NY,Miller Place CDP,97.4,CDP,3
NY,Millerton village,83.9,village,7
NY,Mill Neck village,97.9,#VALUE!,#VALUE!
NY,Millport village,84.3,village,7
NY,Milton CDP (Saratoga County),99.2,#VALUE!,#VALUE!
NY,Milton CDP (Ulster County),94.3,#VALUE!,#VALUE!
NY,Mineola village,87.5,village,7
NY,Minetto CDP,93.9,CDP,3
NY,Mineville CDP,81.4,CDP,3
NY,Minoa village,98.3,#VALUE!,#VALUE!
NY,Mohawk village,95.5,#VALUE!,#VALUE!
NY,Monroe village,92.5,#VALUE!,#VALUE!
NY,Monsey CDP,78.5,CDP,3
NY,Montauk CDP,95.2,CDP,3
NY,Montebello village,95.2,village,7
NY,Montgomery village,90,village,7
NY,Monticello village,80,village,7
NY,Montour Falls village,83.6,village,7
NY,Montrose CDP,96.7,CDP,3
NY,Mooers CDP,82.5,CDP,3
NY,Moravia village,85.4,village,7
NY,Moriches CDP,89.6,CDP,3
NY,Morris village,95.3,#VALUE!,#VALUE!
NY,Morrisonville CDP,94.5,CDP,3
NY,Morristown village,90.4,village,7
NY,Morrisville village,89.5,village,7
NY,Mountain Lodge Park CDP,86.1,Park CDP,8
NY,Mount Ivy CDP,87.7,CDP,3
NY,Mount Kisco village,82.2,#VALUE!,#VALUE!
NY,Mount Morris village,84.5,#VALUE!,#VALUE!
NY,Mount Sinai CDP,93.4,CDP,3
NY,Mount Vernon city,84.6,city,4
NY,Munnsville village,91.3,village,7
NY,Munsey Park village,98,#VALUE!,#VALUE!
NY,Munsons Corners CDP,90.9,CDP,3
NY,Muttontown village,94.7,village,7
NY,Myers Corner CDP,94.4,CDP,3
NY,Nanuet CDP,88.4,CDP,3
NY,Napanoch CDP,94.7,CDP,3
NY,Napeague CDP,82.7,CDP,3
NY,Naples village,93.9,#VALUE!,#VALUE!
NY,Narrowsburg CDP,88.6,CDP,3
NY,Nassau village,95.8,#VALUE!,#VALUE!
NY,Natural Bridge CDP,73.8,CDP,3
NY,Nedrow CDP,89.4,CDP,3
NY,Nelliston village,81.3,village,7
NY,Nelsonville village,94.1,village,7
NY,Nesconset CDP,93.6,CDP,3
NY,Newark village,84.6,#VALUE!,#VALUE!
NY,Newark Valley village,95.7,#VALUE!,#VALUE!
NY,New Berlin village,78.8,#VALUE!,#VALUE!
NY,Newburgh city,70.1,city,4
NY,New Cassel CDP,70,CDP,3
NY,New City CDP,93.7,CDP,3
NY,Newfane CDP,90.6,CDP,3
NY,Newfield Hamlet CDP,75.6,CDP,3
NY,New Hartford village,95.1,#VALUE!,#VALUE!
NY,New Hempstead village,89.8,#VALUE!,#VALUE!
NY,New Hyde Park village,89.3,#VALUE!,#VALUE!
NY,New Paltz village,94.4,#VALUE!,#VALUE!
NY,Newport village,89.4,village,7
NY,New Rochelle city,82.9,#VALUE!,#VALUE!
NY,New Square village,70.6,#VALUE!,#VALUE!
NY,New Suffolk CDP,84.5,CDP,3
NY,New Windsor CDP,86.7,CDP,3
NY,New York City,80.3,#VALUE!,#VALUE!
NY,New York Mills village,95.2,#VALUE!,#VALUE!
NY,Niagara Falls city,85.6,city,4
NY,Nichols village,94.7,village,7
NY,Niskayuna CDP,99,CDP,3
NY,Nissequogue village,96.6,village,7
NY,Niverville CDP,94,CDP,3
NY,Norfolk CDP,96.4,CDP,3
NY,North Amityville CDP,76.1,CDP,3
NY,Northampton CDP,73.6,CDP,3
NY,North Babylon CDP,93.4,CDP,3
NY,North Ballston Spa CDP,88.1,CDP,3
NY,North Bay Shore CDP,72.2,CDP,3
NY,North Bellmore CDP,95.1,CDP,3
NY,North Bellport CDP,79.4,CDP,3
NY,North Boston CDP,99.3,CDP,3
NY,North Collins village,88.9,#VALUE!,#VALUE!
NY,North Creek CDP,80.4,CDP,3
NY,Northeast Ithaca CDP,97.9,CDP,3
NY,North Gates CDP,84.7,CDP,3
NY,North Great River CDP,95.3,CDP,3
NY,North Haven village,97.9,#VALUE!,#VALUE!
NY,North Hills village,98.7,#VALUE!,#VALUE!
NY,North Hornell village,96.6,#VALUE!,#VALUE!
NY,North Lindenhurst CDP,85.3,CDP,3
NY,North Lynbrook CDP,85.1,CDP,3
NY,North Massapequa CDP,94.5,CDP,3
NY,North Merrick CDP,95.3,CDP,3
NY,North New Hyde Park CDP,91.7,CDP,3
NY,North Patchogue CDP,94.6,CDP,3
